,,Test,BN_indep,BN_timedep_5step,TVAE,CTGAN,E-WGAN-GP,NetShare,Transformer,Our
JSD,17,0.14673673574541607,0.12951976845085078,0.152057439050226,0.2783647620603001,0.11519361905462189,0.47028187619353046,0.32306648427753987,0.5564246715885636,0.11290972112855306
JSD,18,0.14060514291870838,0.13029048079679068,0.15275921437681647,0.2777704697976076,0.11621695134725804,0.4720064901677882,0.3213020350760227,0.5514442686875303,0.11508254541014144
JSD,19,0.135719768368545,0.13291798621908563,0.15268346444185496,0.28600933530392475,0.11359267579932983,0.4771766801920275,0.32552211675121284,0.5502499822221524,0.11406582628259962
EMD,20,0.0027160901872642844,0.06770525312657645,0.040522749921743456,0.004264019119927762,0.001870165136698584,0.009473526035673646,0.01302392210766177,0.001223044100317256,0.018105533144748866
EMD,21,0.002246712680996705,0.06996595087785858,0.03820089726243426,0.004676843538451078,0.0022853768109484286,0.00932126705782842,0.012730258826929486,0.0015173588611678897,0.018357546764023912
EMD,22,0.002863601680436476,0.0689816169327455,0.05320442184521031,0.006100462728224639,0.0028487482937169495,0.026833407378014026,0.015325326988165818,0.004698939941886092,0.0179861191080502
EMD,23,0.0022157830275880996,0.07219579282209689,0.04136859047259925,0.00404683345373609,0.002292034025341284,0.009912330807538967,0.012502071947278252,0.0013026772555845996,0.018918872328878625
EMD,24,0.0032566075380453994,0.07133705452460487,0.05493138575199174,0.0070154866674947405,0.003104081899900884,0.03188397759386578,0.015901612454002848,0.004573521182550058,0.01779120805689331
EMD,25,0.0028157471926713064,0.08045672333019642,0.055871517566581146,0.004774127049364748,0.0024987370441430785,0.010923565080765035,0.0145837627908521,0.0020448497431590253,0.021547586987473676
EMD,26,0.00234366409424396,0.06943078560332976,0.047607109084538905,0.0049157209327802456,0.002631238674030315,0.01075994420995096,0.01291339815407362,0.0018219523954218489,0.01815015650294888
EMD,27,0.002488999218706272,0.07066520105061536,0.04500931639949793,0.004600142669177694,0.0022929894607653972,0.010282767362193853,0.01275561069516175,0.0017985966556033027,0.019324600152802816
EMD,28,0.00304342539209891,0.07393253197144424,0.044571988728332505,0.004886824957395779,0.0022113044237492756,0.01050603963299279,0.0143498686748798,0.0019267689180872205,0.01986802147144336
EMD,29,0.0025096579693142176,0.07578985665292234,0.05172868550534404,0.00538498233915578,0.0030326066642897696,0.01617604204946454,0.013190102544902564,0.002768502688985094,0.017029757106270454
EMD,30,0.0024530472370287728,0.06765220608172612,0.04091625752683934,0.004646272715402379,0.0022717487627142412,0.009275971123151287,0.012627518252258869,0.0012377244258941816,0.018894117152243362
EMD,31,0.0022339507664504888,0.05145106968598432,0.022022738931708277,0.004176232414484783,0.002160820049676178,0.009579854361844777,0.01238823269225945,0.0007842413801488927,0.01453935584151115
EMD,32,0.0024239540950976523,0.0725266745183285,0.0438015825559171,0.004453794121010033,0.0022572781702709776,0.009971210726149978,0.013822563180549736,0.0015478009170263568,0.018801975833141697
EMD,33,0.0026672846563563766,0.07299329348951793,0.04831168238747139,0.005174189227513395,0.0018063392237036395,0.009419955079317458,0.013102118970393999,0.0012834655723225341,0.018959977896765325
EMD,34,0.0022821881348746792,0.07706551342922724,0.05395394365702533,0.00471783756034457,0.0024434436722526503,0.01268185934351792,0.014067157683680663,0.002173279722178069,0.018114034321591792
EMD,35,0.003018162058250257,0.06827515238168706,0.03983245948960539,0.004065410872101411,0.0023463976557011068,0.009653283429904031,0.013555440650199676,0.001051156345831423,0.017580357118288606
EMD,36,0.0027003153027431257,0.07186485194274068,0.04664134262125565,0.004590987650215226,0.0019480275216253987,0.009880130058208666,0.014243791479142336,0.0013689860260666187,0.018138218513302603
EMD,37,0.002327014763823542,0.0698453942338657,0.04087439496759457,0.004399260718558386,0.002227375289704544,0.009445212177857987,0.012667548669304472,0.0010821717634413913,0.018364154556233237
EMD,38,0.002802223230163674,0.06557649814336906,0.03762353145825451,0.0043642223643921745,0.0018235280205718843,0.009340327730577561,0.013110394994286957,0.0010094487628321222,0.01568541451563472
EMD,39,0.002575060907008586,0.06893526094377743,0.04695458363560432,0.00458786508977745,0.002281704596042379,0.015925477560483722,0.01337680167323057,0.0019466095888006037,0.018601968391190726
PCD,40,0.3615590219413468,1.8933812809498831,2.782197517498623,1.6401224714976828,1.0969926542631738,2.9162791200005094,1.6903530482191085,3.344974457298261,1.793440977737189
