,,Test,BN_indep,BN_timedep_5step,TVAE,CTGAN,E-WGAN-GP,NetShare,Transformer,Our
JSD,14,0.1523224229572706,0.2656662304181641,0.2117652129492049,0.3007847404489245,0.1472310901450469,0.3785041486449921,0.3570444049024822,0.5527745828496746,0.0986918591886728
JSD,15,0.1504344482386728,0.2694751262674945,0.2104762985617179,0.2975139921118575,0.1507787604902152,0.3822797854145016,0.3590845651895759,0.555075530945278,0.1041337135756106
JSD,16,0.1490457060240713,0.2661623892113886,0.2076776955468569,0.2939579978410057,0.1484406943381115,0.38306005727895687,0.3574385396292855,0.5560728423642304,0.0958478348780914
JSD,17,0.1500538332567742,0.2642292129334962,0.2089063393210327,0.2985751658656049,0.1492730560835155,0.3842803403271581,0.3527980787511213,0.5553884446919716,0.0943412845047491
JSD,18,0.1518835038341122,0.2675263471893591,0.2101691951579355,0.2967799146070805,0.1487010886206879,0.3824561083977529,0.3592953658623479,0.5535343226064802,0.0979802117307549
JSD,19,0.1506208262358111,0.2644395163642584,0.2086283753959144,0.2946395755123842,0.146861996062262,0.38023590039711447,0.3525749898134491,0.5593363357629244,0.0971072083255812
EMD,20,0.0001706802233653,0.11509466507266809,0.0888234381579264,0.0107321145784067,0.01045511395534,0.024448552153852603,0.030902648346393,0.0015982050232502,0.0239863783157366
EMD,21,0.0001638442305106,0.1253263504746432,0.093755403336339,0.0105184928242064,0.0103720716659226,0.020518771706752002,0.0308576493822851,0.0014705296232977,0.0260598667562355
EMD,22,0.0001041367502671,0.1022732686630311,0.0681035750997028,0.0102367312059642,0.0102402366843629,0.0104543784698952,0.0302318059745228,0.0002323154304008,0.0234013628953208
EMD,23,0.0001247410937662,0.11014987787656931,0.0782805662322119,0.0102161228331729,0.0102174320938395,0.010491685727055,0.0302189231331351,0.0001914002389938,0.0223857060328785
EMD,24,4.075425018946272e-05,0.089193193477027,0.0558328036283313,0.0102076434024997,0.0102099134881993,0.01029470153131,0.030198895474510098,0.0001679710065016,0.0194349957552865
EMD,25,0.0001867189728451,0.112742965721197,0.0803664972259261,0.0102517052187845,0.0102369534193546,0.010877589397718601,0.0303832774330461,0.0006897691114325,0.0242106085115822
EMD,26,0.00019156557517,0.1131428998863702,0.0812384653972142,0.0101564170820061,0.0101515883016182,0.0112039867527859,0.0302061954156201,0.0002569897789262,0.0231759166500576
EMD,27,7.421451070995227e-05,0.0884091305676067,0.059096155339338395,0.010156804992814,0.0101576641145403,0.0103983004021142,0.0301589092336115,0.0001573552711839,0.0201489228969486
EMD,28,4.118954873600263e-05,0.09939995527761611,0.0677518079811667,0.0101229197003188,0.0101221151527934,0.010336598938601,0.0301312149596479,0.0001570450692507,0.0218900005930421
EMD,29,0.0002618548105418,0.1251200530572425,0.0904984367645843,0.0113592742070288,0.0109610207765232,0.0356202499327602,0.032712243700958196,0.0041585986950731,0.0240709408475968
EMD,30,0.0009694707876485,0.12282897435953051,0.08974617869394351,0.0129955311380456,0.0122421173651713,0.0536351283297456,0.0360434062062914,0.0109049439220276,0.0228797729032767
EMD,31,0.0001112908919115,0.1108221212317078,0.0832548708968297,0.0101531633331745,0.0101460878117041,0.011164628960915201,0.0301604197875824,0.000180857520333,0.0233838929897483
EMD,32,6.689333548479835e-05,0.10399308939903361,0.0734624032867608,0.0101969658297344,0.0101971815566594,0.0103633553470222,0.0301875333713829,0.0002517603518751,0.0228134362200812
EMD,33,4.647678144686716e-05,0.1147963773559313,0.0867225370851656,0.0102222953337686,0.0102233851069459,0.0110045842730881,0.030227874662696,0.0003423133811019,0.0261022569201397
EMD,34,0.0002005038993467,0.1166919982618611,0.0826479379337845,0.0102603513752879,0.0102609007041458,0.0110367786635438,0.0305310529505793,0.0007120783268976,0.0249901980793125
EMD,35,0.0001242987341869,0.11695732368239,0.08837167439246131,0.0103137688601716,0.0103553650974622,0.012496613191729601,0.0305655347262428,0.0008895596158296,0.0262715258481571
EMD,36,0.0001378407395804,0.0988174537239498,0.062448999728815104,0.0101992190503462,0.010198407351374901,0.0102236846570885,0.030199795978141198,0.0002321553522974,0.0232323421676332
EMD,37,5.979849785393169e-05,0.1121292439667161,0.07986699214574791,0.0101609776155466,0.0101695550926755,0.0104640972710135,0.0301853040811342,0.0002273314045369,0.0251775096360543
EMD,38,9.39214126204699e-05,0.0861443842575782,0.0558998940571764,0.0101368701816268,0.010137705595759501,0.0104127296997176,0.030150244277181,0.000182042667864,0.0203989674829901
EMD,39,0.0001399000404236,0.0950838840327326,0.05804519265216589,0.010154371344194,0.0101554584226753,0.0102611669967012,0.030162966559369,0.0001875982979383,0.0219561855332111
PCD,40,2.6414049807799374,2.686824563738729,2.029924796867818,2.0003200794095464,1.753620402847404,3.324567785389725,1.6673603957434413,3.604677411049931,1.8296989981354856
PCD,41,1.9284091435170578,2.2297287047830934,1.647896268724219,1.5661864881607799,1.4195465634629088,3.046880212171589,1.7447008512848385,3.3068095017605583,1.597488071598565
PCD,42,0.6565154588124281,2.63563278656979,2.1645569058741723,1.5351217769963106,1.3307967260897848,3.6998329116064657,1.2689539947479394,3.6399180545992884,2.0131599152777526
PCD,43,2.2063022137833146,2.5558027406994452,2.304789523656217,1.3372341807033676,1.695720848788288,3.4610499636000216,1.3954688810882687,3.0691557159719007,2.2928238300201227
PCD,44,0.27508688148435856,2.8486891940272665,2.286456695168768,1.9837479709163837,1.5578543369298197,3.8644707935716083,1.1094490671805677,4.190632226812073,2.0899654239249994
PCD,45,0.94505975660241,2.188012956558789,1.5203430527198092,1.6392849844441495,1.3194818128820107,2.9416020181940254,2.502484707487827,2.8297164279419382,1.4300921295440787
